Topic,Scenario_no,code,Title,PoliticalFrame,Text,Against,Neutral,For
Immigrants,1b,s2_n,The New Family in the Neighborhood,non-political,"A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move.",Interview the family first,Let the family move in,Provide help with moving in
Immigrants,1b,s2_p,The New Family in the Neighborhood,political,"A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move.",Interview the family first,Let the family move in,Provide help with moving in
